id,EAP,HPL,MWS
id02310,0.000157414,1.25E-05,0.999830133
id24541,0.999999966,3.34E-08,2.29E-10
id00134,0.002127314,0.997872662,2.41E-08
id27757,0.198284996,0.801715003,8.94E-10
id04081,0.96576239,0.009470173,0.024767436
id27337,0.993074314,0.006916137,9.55E-06
id24265,0.955947149,0.032304421,0.01174843
id25917,1.02E-05,0.000176571,0.999813208
id04951,0.99999681,3.19E-06,6.69E-13
id14549,0.961494053,0.00546819,0.033037757
id22505,0.000469707,0.011727179,0.987803114
id24002,1.85E-11,1,3.43E-13
id18982,0.019814536,0.801142916,0.179042549
id15181,3.97E-07,0.999999601,1.83E-09
id21888,0.677001786,0.145016475,0.17798174
id12035,5.80E-06,1.25E-06,0.999992948
id17991,0.042528122,0.000858341,0.956613537
id10707,1,1.66E-15,3.41E-13
id07101,0.197772804,0.002015798,0.800211397
id00345,0.063219713,0.936755374,2.49E-05
id05912,0.980063896,0.003631725,0.016304379
id13443,0.999906788,3.02E-07,9.29E-05
id09248,0.033121974,0.026572959,0.940305066
id17542,0.003001573,0.995619854,0.001378573
id06995,0.000588899,8.87E-10,0.9994111
id25159,0.232814039,0.003207162,0.763978799
id25729,0.952947742,0.044715521,0.002336737
id26949,0.996741337,0.002953355,0.000305308
id27191,0.00382058,6.51E-10,0.996179419
id07668,0.001214815,6.00E-12,0.998785185
id02230,0.000606352,0.009205492,0.990188156
id15553,1,1.63E-13,1.22E-10
id25688,1.29E-10,0.999999999,9.11E-10
id17545,0.999301484,2.33E-05,0.000675242
id13929,0.327254805,0.582559867,0.090185328
id12880,0.247189101,0.631106248,0.121704651
id19282,0.752065172,0.042145351,0.205789477
id14690,0.000287749,9.14E-07,0.999711337
id17975,2.31E-05,0.99997386,3.01E-06
id08037,0.999309586,3.62E-09,0.00069041
id15412,0.008220494,0.000200533,0.991578973
id25032,0.490236055,0.059610119,0.450153826
id27165,0.999999939,3.92E-09,5.75E-08
id03327,0.924438366,0.075324262,0.000237372
id18515,0.996970498,0.000449308,0.002580194
id21003,0.000777983,0.000376945,0.998845072
id23855,1.90E-06,0.994069393,0.005928705
id20724,0.597118756,0.247237177,0.155644068
id13303,0.784125315,0.008515801,0.207358884
id16521,3.60E-06,0.215959681,0.784036722
id20775,1,5.19E-12,2.75E-13
id13029,0.999996431,2.54E-06,1.03E-06
id14660,0.79992498,0.194183372,0.005891648
id11028,7.33E-07,5.13E-10,0.999999267
id14180,0.999026731,0.000964707,8.56E-06
id25860,0.999999999,9.84E-10,6.65E-13
id11910,0.066244885,4.15E-06,0.933750961
