,EAP,HPL,MWS
0,4.663878319679088e-66,3.689544281616086e-67,2.962311319652077e-62
0,2.561906635796715e-195,8.552745365220757e-203,5.857304542419677e-205
0,3.879998294934178e-113,1.8200155913507502e-110,4.388747946554204e-118
0,1.8219173117988082e-132,7.366459741275641e-132,8.216626674661205e-141
0,2.627912857961716e-35,2.5769061673659687e-37,6.739407675740737e-37
0,2.568466506403618e-115,1.788775008437156e-117,2.4698548952005485e-120
0,4.3498040407748215e-39,1.4699337614989701e-40,5.345836203281425e-41
0,3.477607942831136e-93,6.0076031640561896e-92,3.4017353093461446e-88
0,4.145512433446695e-84,1.3223775678581066e-89,2.7753256619561684e-96
0,2.636375901415779e-27,1.4993544449857458e-29,9.058812833597654e-29
0,1.524351456068581e-160,3.8058474289860204e-159,3.205739312022079e-157
0,2.2718612567267633e-160,1.2300827932358474e-149,4.2204981839005154e-162
0,5.796399086762761e-115,2.3436047994329368e-113,5.237579572671193e-114
0,1.0113721137637704e-90,2.548472076754674e-84,4.661741370702615e-93
0,1.314433563230904e-43,2.8155689611721786e-44,3.455606428334364e-44
0,2.1489757172393142e-32,4.64464506404899e-33,3.7060572242944044e-27
0,4.7913603634715096e-61,9.670351464717402e-63,1.0777527759439425e-59
0,5.2203653694215976e-110,8.682578745089548e-125,1.782667721927343e-122
0,1.3489432154804317e-79,1.3749097279427367e-81,5.457978614665366e-79
0,4.545921397451588e-78,6.735899437007205e-77,1.791425959266345e-81
0,4.52246312741242e-46,1.6758438979923896e-48,7.52358628331542e-48
0,4.204232505886895e-100,1.2695841656273375e-106,3.906530401114204e-104
0,3.417987836206363e-35,2.7421690250019203e-35,9.703380769341715e-34
0,1.911122675198919e-37,6.339182529525888e-35,8.777475133311003e-38
0,1.9161648801829881e-113,2.886275542713572e-119,3.251893621815752e-110
0,2.2850243570441905e-36,3.1477668610064834e-38,7.498302819890315e-36
0,3.939326798594251e-77,1.8484649424247262e-78,9.659681433860753e-80
0,7.19494306555329e-54,2.131869199346369e-56,2.2038541123970917e-57
0,8.125205646257109e-128,1.3842866018999203e-134,2.1185689481035911e-125
0,4.067439589145418e-185,2.010087053509113e-193,3.34412933289887e-182
0,4.867770831879905e-72,7.390136348266739e-71,7.949195510384444e-69
0,6.79575958385633e-158,1.1076943317615102e-170,8.315122320477567e-168
0,2.8082465993673213e-96,2.178974982525848e-86,1.985009335024302e-95
0,9.811739521270408e-35,2.2851456382713873e-39,6.629929230607513e-38
0,5.081985091572035e-34,9.046652673415664e-34,1.4005004205912737e-34
0,1.4801376190382367e-101,3.778985786894163e-101,7.287523276104035e-102
0,4.940751625441839e-46,2.7687721578373644e-47,1.35195024788366e-46
0,2.1531097036192983e-32,6.838577945109496e-35,7.480429829766081e-29
0,3.0292948406608205e-93,1.309673489312256e-88,3.942892488171735e-94
0,6.270865612999244e-124,2.2711268930024155e-132,4.332462187600804e-127
0,7.444179425104502e-39,1.8159514826323387e-40,8.979377013321114e-37
0,1.542457913794272e-21,1.8755474910236685e-22,1.4163448880019301e-21
0,7.9576429678853e-57,3.117106723371989e-65,4.5774470034912596e-64
0,3.66223598709429e-85,2.984030464730624e-86,9.403661321452236e-89
0,3.5019856930158176e-78,1.5782519997419412e-81,9.063260303119196e-81
